scenario,eps,delta,perception_gap,xi_delta,xi_sup,xi_mean,xi_pool_delta,cov_eps,cov_exact,measured_regret,bound_twin,bound_eps,bound_cov,bound_delta,bound_total,bound_sup,slack,tightness,n_cycles
narrowband,0.05,0.05,1.8732301080663186e-11,0.08809857705596388,0.9929380671035853,0.025648373355527894,0.18683433077162925,0.9996666666666667,0.0003333333333333333,0.0023987821322444263,0.17619715411192777,0.05,0.0003333333333332966,0.05,0.27653048744526104,2.985542800873837,0.2741317053130166,0.008674566607124153,3000
wideband,0.05,0.05,0.0,0.6862122822254738,0.9999761515172354,0.12528740038124786,0.7969110390077789,0.6633333333333333,0.017,0.14302137374306173,1.3724245644509476,0.05,0.33666666666666667,0.05,1.8090912311176144,2.982952303034471,1.6660698573745527,0.0790570266899732,3000
bursty,0.05,0.05,-4.730197976865469e-09,0.08797819812022267,0.9414166772020031,0.030164059833590006,0.4789595052901382,0.9943333333333333,0.0006666666666666666,0.010493052219996489,0.17595639624044535,0.05,0.005666666666666709,0.05,0.28162306290711203,2.8821666877373393,0.27113001068711556,0.03725920779242935,3000
backhaul,0.05,0.05,0.0,0.08601618487181029,0.1627153084865467,0.03464669306442289,0.12295134200866802,1.0,0.0006666666666666666,0.0036408872043607594,0.17203236974362057,0.05,0.0,0.05,0.27203236974362055,1.3247639503064268,0.2683914825392598,0.013384021937507465,3000
compromised_xapp,0.05,0.05,-1.2555598893904119e-11,0.0730464126417515,0.1490121486419117,0.021749635918263798,0.4936649682781132,1.0,0.0003333333333333333,0.0022523887703059884,0.146092825283503,0.05,0.0,0.05,0.24609282528350301,1.29769096395049,0.24384043651319703,0.009152598283640326,3000
compound,0.05,0.05,3.2708341205754574e-06,0.12735835748606966,0.9900912406707569,0.05191769248858507,0.5761564300820018,0.9266666666666666,0.0006666666666666666,0.0410336285119175,0.2547167149721393,0.05,0.07333333333333336,0.05,0.42805004830547266,2.9795158146748473,0.38701641979355517,0.0958617541905622,3000
