scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm
narrowband,static,naive,phi,radioml,26,300,0.2616375344018824,0.0013029988786524885,0.0,0.7466666666666667,221,0.0,0.0,23.0,35.0,-0.4850291322647843,0.0,0.0,0.0,0.0,0.7466666666666667,0.0
narrowband,static,naive,phi,radioml,27,300,0.26165698275576454,0.0014224946708932195,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4883430172442354,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,28,300,0.2609675202331086,0.0014635929703850287,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.4890324797668914,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,static,naive,phi,radioml,29,300,0.2615740935005364,0.0014141822815299848,0.0,0.75,221,0.0,0.0,23.0,35.0,-0.48842590649946366,0.0,0.0,0.0,0.0,0.75,0.0
narrowband,heuristic,naive,phi,radioml,0,300,0.9934226737149788,0.9931569134100258,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934226737149788,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,1,300,0.9934067536529608,0.993073747476761,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934067536529608,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,2,300,0.993416345452164,0.9930872006790583,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.993416345452164,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,3,300,0.993415619227892,0.9931579096104075,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.993415619227892,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,4,300,0.9901533402387177,0.9931887007344886,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901533402387177,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,5,300,0.9934090867775751,0.993058830534851,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934090867775751,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,6,300,0.9934111015436493,0.9931144732685937,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934111015436493,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,7,300,0.9934225173103781,0.9931468761398515,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934225173103781,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,8,300,0.9901592118853549,0.9931271123206569,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901592118853549,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,9,300,0.993429614029936,0.9931983766705597,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.993429614029936,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,10,300,0.9934278049032909,0.9931893853860565,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934278049032909,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,11,300,0.9934297107590517,0.9931796396415187,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934297107590517,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,12,300,0.9901910071011071,0.9931182704747757,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901910071011071,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,13,300,0.9934174674903765,0.9932047964724141,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934174674903765,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,14,300,0.9934279760226279,0.9931799992218675,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934279760226279,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,15,300,0.990123619991524,0.9931461091393493,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.990123619991524,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,16,300,0.9902348832067719,0.993016836424613,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9902348832067719,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,17,300,0.9901767639981085,0.9930680970752744,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901767639981085,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,18,300,0.993413632616671,0.9931231630708057,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.993413632616671,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,19,300,0.9934073984751524,0.9931062997209462,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934073984751524,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,20,300,0.9934066763067158,0.9930904923043771,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934066763067158,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,21,300,0.993421190986027,0.9931563420962634,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.993421190986027,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,22,300,0.9934346306197529,0.9931933976170272,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934346306197529,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,23,300,0.9901352224729666,0.9930840650097323,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901352224729666,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,24,300,0.9901576553439471,0.9931931679328325,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901576553439471,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,25,300,0.9934225654128517,0.9931317272890018,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934225654128517,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,26,300,0.993443509475965,0.993279125367681,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.993443509475965,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,27,300,0.9934382918465496,0.9932159147234424,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9934382918465496,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,28,300,0.9901358549489108,0.9932258971813963,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9901358549489108,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,heuristic,naive,phi,radioml,29,300,0.9902345626981561,0.9930675735775198,0.0,0.0,1,0.0,0.0,26.0,44.16666666666665,0.9902345626981561,0.0,0.0,0.0,0.0,0.0,0.0
narrowband,structured,naive,phi,radioml,0,300,0.9814713614122718,0.9420156355791479,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.024804694745605142,0.0,0.18,0.0,0.0,0.0,0.9566666666666667
narrowband,structured,naive,phi,radioml,1,300,0.9816059469683341,0.9447029989587701,0.0,0.9566666666666667,1,0.0,0.0,30.0,56.38888888888888,0.0249392803016675,0.0,0.31333333333333335,0.0,0.0,0.0,0.9566666666666667
