repair,scenario,eps,delta,perception_gap,xi_delta,xi_sup,xi_mean,xi_pool_delta,cov_eps,cov_exact,measured_regret,bound_twin,bound_eps,bound_cov,bound_delta,bound_total,bound_sup,slack,tightness,n_cycles
True,narrowband,0.05,0.05,1.8732301080663186e-11,0.08809857705596388,0.9929380671035853,0.025648373355527894,0.18683433077162925,0.9996666666666667,0.0003333333333333333,0.0023987821322444263,0.17619715411192777,0.05,0.0003333333333332966,0.05,0.27653048744526104,2.985542800873837,0.2741317053130166,0.008674566607124153,3000
True,wideband,0.05,0.05,0.0,0.6862122822254738,0.9999761515172354,0.12528740038124786,0.7969110390077789,0.6633333333333333,0.017,0.14302137374306173,1.3724245644509476,0.05,0.33666666666666667,0.05,1.8090912311176144,2.982952303034471,1.6660698573745527,0.0790570266899732,3000
True,bursty,0.05,0.05,-4.730197976865469e-09,0.08797819812022267,0.9414166772020031,0.030164059833590006,0.4789595052901382,0.9943333333333333,0.0006666666666666666,0.010493052219996489,0.17595639624044535,0.05,0.005666666666666709,0.05,0.28162306290711203,2.8821666877373393,0.27113001068711556,0.03725920779242935,3000
True,backhaul,0.05,0.05,0.0,0.08601618487181029,0.1627153084865467,0.03464669306442289,0.12295134200866802,1.0,0.0006666666666666666,0.0036408872043607594,0.17203236974362057,0.05,0.0,0.05,0.27203236974362055,1.3247639503064268,0.2683914825392598,0.013384021937507465,3000
True,compromised_xapp,0.05,0.05,-1.2555598893904119e-11,0.0730464126417515,0.1490121486419117,0.021749635918263798,0.4936649682781132,1.0,0.0003333333333333333,0.0022523887703059884,0.146092825283503,0.05,0.0,0.05,0.24609282528350301,1.29769096395049,0.24384043651319703,0.009152598283640326,3000
True,compound,0.05,0.05,3.2708341205754574e-06,0.12735835748606966,0.9900912406707569,0.05191769248858507,0.5761564300820018,0.9266666666666666,0.0006666666666666666,0.0410336285119175,0.2547167149721393,0.05,0.07333333333333336,0.05,0.42805004830547266,2.9795158146748473,0.38701641979355517,0.0958617541905622,3000
False,narrowband,0.05,0.05,1.8732301080663186e-11,0.08813388124043695,0.9929380671035853,0.025333389233312256,0.14076654958606202,0.9896666666666667,0.0,0.005857297522829981,0.1762677624808739,0.05,0.010333333333333306,0.05,0.2866010958142072,2.985876134207171,0.2807437982913772,0.020437107911921763,3000
False,wideband,0.05,0.05,0.0,0.7448135080383179,0.9999761515172354,0.14239696247663408,0.7737991236901788,0.6076666666666667,0.0,0.18661900823320407,1.4896270160766358,0.05,0.3923333333333333,0.05,1.9819603494099691,2.999952303034471,1.7953413411767651,0.09415880004297798,3000
False,bursty,0.05,0.05,-4.730197976865469e-09,0.09057321398898487,0.9687403712192957,0.03130206095711661,0.33113009683495004,0.9776666666666667,0.0003333333333333333,0.016310676049986175,0.18114642797796973,0.05,0.022333333333333316,0.05,0.30347976131130305,2.937147409105258,0.2871690852613169,0.053745514954636565,3000
False,backhaul,0.05,0.05,0.0,0.08599901778562402,0.19182243711103497,0.031177977852540478,0.107760212358208,0.965,0.0003333333333333333,0.013351110930469874,0.17199803557124804,0.05,0.03500000000000003,0.05,0.30699803557124805,1.3833115408887366,0.2936469246407782,0.04348923896410845,3000
False,compromised_xapp,0.05,0.05,-1.2555598893904119e-11,0.08770295375375249,0.6665863685944643,0.027670154667526117,0.13863790458594433,0.9276666666666666,0.0,0.03335128523159259,0.17540590750750498,0.05,0.07233333333333336,0.05,0.34773924084083835,2.333172737188929,0.31438795560924576,0.09590889182063178,3000
False,compound,0.05,0.05,3.2708341205754574e-06,0.3304715506210552,0.9475191468183868,0.07145844928692856,0.47122990493288824,0.6596666666666666,0.0,0.21421764550208597,0.6609431012421104,0.05,0.3403333333333334,0.05,1.1012764345754438,2.8950382936367736,0.8870587890733578,0.1945175968326877,3000
