K,eps,delta,perception_gap,xi_delta,xi_sup,xi_mean,xi_pool_delta,cov_eps,cov_exact,measured_regret,bound_twin,bound_eps,bound_cov,bound_delta,bound_total,bound_sup,slack,tightness,n_cycles
1,0.05,0.05,4.778316955005549e-07,0.2332774885663776,0.9999519774194674,0.059212433004948946,0.48226289995831795,0.8642222222222222,0.0033333333333333335,0.07121614064758441,0.4665549771327552,0.05,0.13577777777777778,0.05,0.702332754910533,2.9965706215056014,0.6311166142629486,0.10139942947222547,9000
2,0.05,0.05,5.038943499945628e-07,0.1994406697639267,0.9999519774194674,0.05411875440754021,0.48333662154599355,0.9138888888888889,0.0026666666666666666,0.050669873882686574,0.3988813395278534,0.05,0.08611111111111114,0.05,0.5849924506389645,2.997237288172268,0.5343225767562779,0.08661628680394394,9000
3,0.05,0.05,6.019703318151813e-07,0.16426387506887138,0.9999519774194674,0.05325235751360824,0.4852751711401033,0.9196666666666666,0.003111111111111111,0.04140390211820111,0.32852775013774277,0.05,0.08033333333333337,0.05,0.5088610834710762,2.9967928437278237,0.46745718135287506,0.08136582549361827,9000
5,0.05,0.05,5.573516956164864e-07,0.14590298541987848,0.9999761515172354,0.047437924578727246,0.4828026207263377,0.9302222222222222,0.004111111111111111,0.03301558391727905,0.29180597083975696,0.05,0.06977777777777783,0.05,0.46158374861753476,2.99584119192336,0.4285681647002557,0.07152674680632126,9000
8,0.05,0.05,5.671987531644662e-07,0.13325277810909716,0.9999519774194674,0.04493738418299434,0.5200636573982848,0.9398888888888889,0.004888888888888889,0.02921019596074366,0.26650555621819433,0.05,0.060111111111111115,0.05,0.4266166673293054,2.995015065950046,0.3974064713685618,0.06846942043686331,9000
12,0.05,0.05,6.621221389217687e-07,0.12241595103900339,0.9999881569041412,0.04392392075086794,0.5402701812577024,0.9477777777777778,0.004888888888888889,0.025676314842789674,0.24483190207800679,0.05,0.05222222222222217,0.05,0.39705412430022896,2.9950874249193937,0.3713778094574393,0.06466703975948315,9000
20,0.05,0.05,6.198423380594139e-07,0.11471028888768063,0.9999519774194674,0.04249012366046618,0.5740404900318455,0.9612222222222222,0.006,0.022735545452158504,0.22942057777536126,0.05,0.0387777777777778,0.05,0.36819835555313907,2.9939039548389346,0.34546281010098057,0.06174809069422166,9000
