scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,ceiling_dbm
narrowband,shield_repair,adaptive,phi,radioml,23,300,0.9800614373241825,0.965633407701636,0.0,0.0,1,0.0,0.0,22.93,35.0,0.9800614373241825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,24,300,0.9831428417030073,0.9663298739011242,0.0,0.0,1,0.0,0.0,22.86,35.0,0.9831428417030073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,25,300,0.9836678827416812,0.9634625169694276,0.0,0.0,1,0.0,0.0,22.9,35.0,0.9836678827416812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,26,300,0.9830478316150713,0.9693152700323393,0.0,0.0,1,0.0,0.0,22.87,35.0,0.9830478316150713,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,27,300,0.9838135162890516,0.9695749970542208,0.0,0.0,1,0.0,0.0,22.89,35.0,0.9838135162890516,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,28,300,0.9814095405845955,0.9663440986535868,0.0,0.0,1,0.0,0.0,22.83,35.0,0.9814095405845955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
narrowband,shield_repair,adaptive,phi,radioml,29,300,0.9790837875331844,0.9679127121987853,0.0,0.0,1,0.0,0.0,22.87,35.0,0.9790837875331844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,0,300,0.39766832781759676,6.29748618376626e-05,0.0,0.09,221,0.0,0.0,22.7,35.0,0.3076683278175967,0.0,0.0,0.0,0.0,1.0,0.09,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,1,300,0.4319460269150234,5.449274885331011e-05,0.0,0.08,221,0.0,0.0,22.78,35.0,0.35194602691502336,0.0,0.0,0.0,0.0,1.0,0.08,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,2,300,0.40373245671526486,2.8023292350610557e-05,0.0,0.1,73,0.0,0.0,22.59,35.0,0.30373245671526483,0.0,0.0,0.0,0.0,1.0,0.1,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,3,300,0.3959293868597243,2.9426226911610106e-05,0.0,0.09333333333333334,221,0.0,0.0,22.74,35.0,0.30259605352639096,0.0,0.0,0.0,0.0,1.0,0.09333333333333334,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,4,300,0.3998706915092138,5.313958700059417e-05,0.0,0.09666666666666666,221,0.0,0.0,22.67,35.0,0.30320402484254716,0.0,0.0,0.0,0.0,1.0,0.09666666666666666,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,5,300,0.4107323910269854,5.0842885288182306e-05,0.0,0.09,221,0.0,0.0,22.69,35.0,0.3207323910269854,0.0,0.0,0.0,0.0,1.0,0.09,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,6,300,0.40094095687946557,2.4809707105603558e-05,0.0,0.09,221,0.0,0.0,22.82,35.0,0.3109409568794656,0.0,0.0,0.0,0.0,1.0,0.09,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,7,300,0.41011836139686075,2.9409942212065448e-05,0.0,0.06666666666666667,221,0.0,0.0,22.75,35.0,0.3434516947301941,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,8,300,0.39301250350069744,3.4656263564015734e-05,0.0,0.09666666666666666,221,0.0,0.0,22.79,35.0,0.2963458368340308,0.0,0.0,0.0,0.0,1.0,0.09666666666666666,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,9,300,0.4016881001453135,5.278602482843302e-05,0.0,0.09,221,0.0,0.0,22.82,35.0,0.3116881001453134,0.0,0.0,0.0,0.0,1.0,0.09,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,10,300,0.414395752129934,7.210734546477807e-05,0.0,0.11666666666666667,59,0.0,0.0,22.74,35.0,0.2977290854632674,0.0,0.0,0.0,0.0,1.0,0.11666666666666667,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,11,300,0.4009982633897131,6.445164913715418e-05,0.0,0.08333333333333333,20,0.0,0.0,22.77,35.0,0.3176649300563798,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,23.0
wideband,shield_repair,adaptive,phi,radioml,12,300,0.41872966525230937,5.5599819136681676e-05,0.0,0.06333333333333334,221,0.0,0.0,22.78,35.0,0.355396331918976,0.0,0.0,0.0,0.0,1.0,0.06333333333333334,0.0,23.0
