mismatch,sigma,eps,delta,perception_gap,xi_delta,xi_sup,xi_mean,xi_pool_delta,cov_eps,cov_exact,measured_regret,bound_twin,bound_eps,bound_cov,bound_delta,bound_total,bound_sup,slack,tightness,n_cycles
0.0,0.08,0.05,0.05,5.573516956164864e-07,0.14590298541987848,0.9999761515172354,0.047437924578727246,0.4828026207263377,0.9302222222222222,0.004111111111111111,0.03301558391727905,0.29180597083975696,0.05,0.06977777777777783,0.05,0.46158374861753476,2.99584119192336,0.4285681647002557,0.07152674680632126,9000
0.1,0.08,0.05,0.05,5.573516956164864e-07,0.16475484207369853,0.9999895589210213,0.05051518330029759,0.5777469830977837,0.9304444444444444,0.004111111111111111,0.03678176808885522,0.32950968414739706,0.05,0.06955555555555559,0.05,0.49906523970295263,2.9958680067309316,0.46228347161409744,0.0737013223175952,9000
0.2,0.08,0.05,0.05,5.573516956164864e-07,0.24295003910125645,0.9999983317656203,0.05661650059938252,0.6662757617521136,0.9305555555555556,0.004111111111111111,0.041080240569693,0.4859000782025129,0.05,0.06944444444444442,0.05,0.6553445226469574,2.9958855524201295,0.6142642820772645,0.062684952952332,9000
0.3,0.08,0.05,0.05,5.573516956164864e-07,0.37067630792179684,0.9999983317656203,0.06547307920736886,0.740419384516513,0.9305555555555556,0.004111111111111111,0.048637117212579926,0.7413526158435937,0.05,0.06944444444444442,0.05,0.9107970602880382,2.9958855524201295,0.8621599430754583,0.0534006084705615,9000
0.4,0.08,0.05,0.05,5.573516956164864e-07,0.38840991794649726,0.9999983317656203,0.07424029636767326,0.801090631276164,0.9306666666666666,0.004111111111111111,0.05670624589463755,0.7768198358929945,0.05,0.06933333333333336,0.05,0.946153169226328,2.9958855524201295,0.8894469233316904,0.05993347349986303,9000
0.5,0.08,0.05,0.05,5.573516956164864e-07,0.47063981802650157,0.9999983317656203,0.08606705607918172,0.8680727132495039,0.9308888888888889,0.004111111111111111,0.06809766331914922,0.9412796360530031,0.05,0.06911111111111112,0.05,1.1103907471641143,2.9958855524201295,1.042293083844965,0.06132765739724277,9000
