perception_aware,scenario,eps,delta,perception_gap,xi_delta,xi_sup,xi_mean,xi_pool_delta,cov_eps,cov_exact,measured_regret,bound_twin,bound_eps,bound_cov,bound_delta,bound_total,bound_sup,slack,tightness,n_cycles
False,narrowband,0.05,0.05,4.034426914767408e-11,0.0888460695298558,0.9949913836818085,0.026173256460614212,0.19662085604012858,0.9996666666666667,0.0006666666666666666,0.002069934554564951,0.1776921390597116,0.05,0.0003333333333332966,0.05,0.27802547239304487,2.9893161006969504,0.2759555378384799,0.0074451255733815735,3000
False,wideband,0.05,0.05,0.0,0.9998810326061152,0.9999926627667914,0.26468441167106865,0.9999366353948325,0.661,0.2733333333333333,0.2500189488664828,1.9997620652122303,0.05,0.33899999999999997,0.05,2.43876206521223,2.7266519922002495,2.188743116345747,0.10251879526620619,3000
False,bursty,0.05,0.05,2.9744781246802505e-07,0.08451023245096416,0.955236795922791,0.027550641495513627,0.2641072121270617,0.9943333333333333,0.0006666666666666666,0.007944446816026105,0.16902046490192832,0.05,0.005666666666666709,0.05,0.27468713156859503,2.9098069251789154,0.2667426847525689,0.028921801944850892,3000
False,backhaul,0.05,0.05,0.0,0.08601089806618178,0.9566261121126123,0.03453287739832697,0.1513066391807285,1.0,0.0006666666666666666,0.0036093066699663364,0.17202179613236357,0.05,0.0,0.05,0.27202179613236355,2.912585557558558,0.2684124894623972,0.013268446577751725,3000
False,compromised_xapp,0.05,0.05,5.2214552977621525e-11,0.07578378956940286,0.15739932980083216,0.02216570785370777,0.5196522007550166,1.0,0.0006666666666666666,0.001963842447198916,0.15156757913880572,0.05,0.0,0.05,0.25156757913880573,1.3141319929349975,0.24960373669160682,0.007806421057601146,3000
False,compound,0.05,0.05,1.0892821874996331e-05,0.8172072714265126,0.9987629841237969,0.10629778914215471,0.9519036732949343,0.9236666666666666,0.002,0.09059473116745854,1.6344145428530252,0.05,0.07633333333333336,0.05,1.8107478761863587,2.995525968247594,1.7201531450189,0.050031665014712796,3000
True,narrowband,0.05,0.05,4.034426914767408e-11,0.08923143048399487,0.9949913836818085,0.026144800426289166,0.1878675797826521,0.9996666666666667,0.0006666666666666666,0.002172845586681735,0.17846286096798974,0.05,0.0003333333333332966,0.05,0.278796194301323,2.9893161006969504,0.2766233487146413,0.007793670183077616,3000
True,wideband,0.05,0.05,0.0,0.7149030291499413,0.9999832407165509,0.13362271968511494,0.7954403764295183,0.66,0.2733333333333333,0.14667347581796822,1.4298060582998826,0.05,0.33999999999999997,0.05,1.8698060582998826,2.7266331480997685,1.7231325824819144,0.07844314931321315,3000
True,bursty,0.05,0.05,2.9744781246802505e-07,0.08637622742222492,0.955236795922791,0.028254056921507918,0.5021054727226342,0.994,0.0006666666666666666,0.008441454488500528,0.17275245484444984,0.05,0.006000000000000005,0.05,0.2787524548444498,2.9098069251789154,0.2703110003559493,0.030282978111209998,3000
True,backhaul,0.05,0.05,0.0,0.08601089806618178,0.18386173977935605,0.03381975138943137,0.12471780708510523,1.0,0.0006666666666666666,0.0028668708120006933,0.17202179613236357,0.05,0.0,0.05,0.27202179613236355,1.3670568128920455,0.26915492532036284,0.010539121690843103,3000
True,compromised_xapp,0.05,0.05,5.2214552977621525e-11,0.07578386758717062,0.15740010090725554,0.022161309592726598,0.5200338117674013,1.0,0.0006666666666666666,0.0019318916113323622,0.15156773517434124,0.05,0.0,0.05,0.2515677351743412,1.3141335351478443,0.24963584356300886,0.007679409324862445,3000
True,compound,0.05,0.05,1.0892821874996331e-05,0.13143511239251576,0.9690152878650116,0.05371946375379197,0.5818272989069422,0.9226666666666666,0.002,0.04214961018045013,0.2628702247850315,0.05,0.07733333333333337,0.05,0.44020355811836487,2.9360305757300234,0.3980539479379147,0.09575027144400469,3000
