scenario,scheme,n_cells,seed,cycles,mean_pdr,psi_violation_rate,phi_violation_rate,hazard_rate,mean_power_dbm,budget_use
compound,per_cell,3,0,300,0.6000577364468976,0.7833333333333333,0.0,0.39555555555555555,26.826666666666668,1.4285429007024826
compound,per_cell,3,1,300,0.5928271526445229,0.7566666666666667,0.0,0.3888888888888889,26.79888888888889,1.4147298016058165
compound,per_cell,3,2,300,0.6108929853922789,0.7733333333333333,0.0,0.38,26.82,1.4443269608142437
compound,per_cell,3,3,300,0.5907052565737428,0.7766666666666666,0.0,0.4166666666666667,26.825555555555557,1.4415152927633463
compound,per_cell,3,4,300,0.6084853116822551,0.78,0.0,0.38333333333333336,26.785555555555554,1.423319190933055
compound,per_cell,3,5,300,0.5871565990791088,0.7633333333333333,0.0,0.4022222222222222,26.734444444444446,1.4115443194583588
compound,per_cell,3,6,300,0.5972287042312354,0.7866666666666666,0.0,0.4066666666666667,26.744444444444444,1.423253844936446
compound,per_cell,3,7,300,0.6002267728121375,0.77,0.0,0.3988888888888889,26.89666666666667,1.4646831435159602
compound,per_cell,3,8,300,0.6090888931655847,0.7733333333333333,0.0,0.38222222222222224,26.774444444444445,1.4221869859160885
compound,per_cell,3,9,300,0.6044096504323481,0.7833333333333333,0.0,0.35777777777777775,26.836666666666666,1.45478475309077
compound,per_cell,3,10,300,0.6074793650246326,0.8,0.0,0.4211111111111111,26.935555555555556,1.4602235299380042
compound,per_cell,3,11,300,0.6056219554551167,0.77,0.0,0.39666666666666667,26.74888888888889,1.4243755592330345
compound,per_cell,3,12,300,0.6146288989852299,0.73,0.0,0.35888888888888887,26.57777777777778,1.3786059697221533
compound,per_cell,3,13,300,0.6028993674826987,0.75,0.0,0.38666666666666666,26.69,1.3993369849101032
compound,per_cell,3,14,300,0.6045776434101043,0.7766666666666666,0.0,0.3566666666666667,26.82777777777778,1.4381344580946562
compound,static_share,3,0,300,0.5536456173079173,0.0,0.0,0.3611111111111111,24.903333333333332,0.8400501543467724
compound,static_share,3,1,300,0.5413047988139061,0.0,0.0,0.35777777777777775,24.996666666666666,0.8541864727678329
compound,static_share,3,2,300,0.5633269073967075,0.0,0.0,0.36333333333333334,24.8,0.8292274102223978
compound,static_share,3,3,300,0.5274316176218212,0.0,0.0,0.34444444444444444,24.843333333333334,0.8307647212850785
