scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,atk_predicate_set
narrowband,greedy_twin,adaptive,phi_plus,radioml,0,300,0.9844403549075703,0.9739438037608484,0.9233333333333333,0.26666666666666666,1,0.0,0.0,28.39666666666667,49.54051434733791,0.7177736882409037,0.0,0.21333333333333335,0.0,0.0,0.4533333333333333,0.0,0.06,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,1,300,0.9861473944768154,0.9739898210151937,0.9366666666666666,0.24666666666666667,1,0.0,0.0,28.336666666666666,50.84907059351701,0.7394807278101486,0.0,0.22,0.0,0.0,0.37666666666666665,0.0,0.043333333333333335,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,2,300,0.9852828016681883,0.973976657952519,0.92,0.18,1,0.0,0.0,28.426666666666666,47.83796847343316,0.8052828016681883,0.0,0.10333333333333333,0.0,0.0,0.43333333333333335,0.0,0.08,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,3,300,0.9855486155205126,0.9739810139132287,0.9633333333333334,0.25333333333333335,1,0.0,0.0,28.733333333333334,54.82341962666831,0.7322152821871795,0.0,0.14666666666666667,0.0,0.0,0.38,0.0,0.10666666666666667,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,4,300,0.9855802193843567,0.9739821060752091,0.95,0.16666666666666666,1,0.0,0.0,28.466666666666665,49.303589192406676,0.8189135527176898,0.0,0.14,0.0,0.0,0.37666666666666665,0.0,0.02666666666666667,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,5,300,0.9842852536991376,0.9739374688171645,0.91,0.21,1,0.0,0.0,28.406666666666666,43.519129622983186,0.7742852536991378,0.0,0.15333333333333332,0.0,0.0,0.41,0.0,0.07333333333333333,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,6,300,0.9859124630147189,0.9739779373573243,0.9166666666666666,0.17,1,0.0,0.0,28.266666666666666,45.711856505088,0.815912463014719,0.0,0.13666666666666666,0.0,0.0,0.37,0.0,0.03666666666666667,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,7,300,0.9856594064887899,0.9739947905552271,0.9333333333333333,0.12333333333333334,1,0.0,0.0,28.303333333333335,54.12998329526437,0.8623260731554565,0.0,0.11,0.0,0.0,0.4066666666666667,0.0,0.013333333333333334,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,8,300,0.9816050865102901,0.973964743091359,0.9466666666666667,0.1,1,0.0,0.0,28.56,52.81270017797539,0.8816050865102901,0.0,0.07333333333333333,0.0,0.0,0.37666666666666665,0.0,0.03666666666666667,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,9,300,0.9853030636506488,0.9739862919898357,0.95,0.13,1,0.0,0.0,28.586666666666666,47.06997366517459,0.8553030636506488,0.0,0.09,0.0,0.0,0.35333333333333333,0.0,0.04,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,10,300,0.9850811456596299,0.9736326464666836,0.9233333333333333,0.13666666666666666,1,0.0,0.0,28.34,49.16797707565586,0.8484144789929631,0.0,0.07333333333333333,0.0,0.0,0.3566666666666667,0.0,0.07666666666666666,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,11,300,0.9864048196627224,0.9739908731372924,0.9433333333333334,0.13,1,0.0,0.0,28.4,47.95958221964976,0.8564048196627224,0.0,0.09333333333333334,0.0,0.0,0.3466666666666667,0.0,0.043333333333333335,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,12,300,0.9846190154899045,0.973964453395645,0.9333333333333333,0.12,1,0.0,0.0,28.24,50.53731204796686,0.8646190154899045,0.0,0.08333333333333333,0.0,0.0,0.39666666666666667,0.0,0.04,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,13,300,0.9818271668923887,0.9739806114379885,0.91,0.24333333333333335,1,0.0,0.0,28.113333333333333,42.64731967530246,0.7384938335590554,0.0,0.24,0.0,0.0,0.38333333333333336,0.0,0.016666666666666666,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,14,300,0.98521324790457,0.9739919389917048,0.9033333333333333,0.12666666666666668,1,0.0,0.0,28.27,46.75367543551078,0.8585465812379031,0.0,0.09,0.0,0.0,0.46,0.0,0.04,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,15,300,0.9855546472351365,0.9739779762077408,0.9533333333333334,0.12666666666666668,1,0.0,0.0,28.47,50.50240287241538,0.8588879805684699,0.0,0.08333333333333333,0.0,0.0,0.38333333333333336,0.0,0.043333333333333335,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,16,300,0.9837187272396297,0.9739877910022041,0.9433333333333334,0.21666666666666667,1,0.0,0.0,28.733333333333334,51.003036348197824,0.767052060572963,0.0,0.1,0.0,0.0,0.38,0.0,0.15,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,17,300,0.984691512705886,0.9739853483706934,0.94,0.11666666666666667,1,0.0,0.0,28.533333333333335,48.81548375959939,0.868024846039219,0.0,0.11333333333333333,0.0,0.0,0.33666666666666667,0.0,0.013333333333333334,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,18,300,0.9853160103751799,0.9739825745644034,0.95,0.1,1,0.0,0.0,28.493333333333332,48.02176948296191,0.8853160103751798,0.0,0.07666666666666666,0.0,0.0,0.37333333333333335,0.0,0.023333333333333334,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,19,300,0.9855042117754336,0.973980281041923,0.9366666666666666,0.12666666666666668,1,0.0,0.0,28.42,52.69461150881606,0.858837545108767,0.0,0.09,0.0,0.0,0.42,0.0,0.043333333333333335,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,20,300,0.9864764415161621,0.9739969225115689,0.9366666666666666,0.17333333333333334,1,0.0,0.0,28.503333333333334,47.158436796670756,0.8131431081828288,0.0,0.16666666666666666,0.0,0.0,0.41333333333333333,0.0,0.006666666666666667,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,21,300,0.9862075276135639,0.9739907179265379,0.9233333333333333,0.17,1,0.0,0.0,28.343333333333334,49.870698193472094,0.8162075276135641,0.0,0.14333333333333334,0.0,0.0,0.4066666666666667,0.0,0.03666666666666667,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,22,300,0.9828817829050359,0.9739753260447817,0.9233333333333333,0.19333333333333333,1,0.0,0.0,28.473333333333333,49.95868246215074,0.7895484495717026,0.0,0.12666666666666668,0.0,0.0,0.39666666666666667,0.0,0.07666666666666666,phi
narrowband,greedy_twin,adaptive,phi_plus,radioml,23,300,0.9814273816973917,0.9739393723161821,0.8966666666666666,0.21666666666666667,1,0.0,0.0,28.35,44.80267510293306,0.7647607150307252,0.0,0.15666666666666668,0.0,0.0,0.4166666666666667,0.0,0.11666666666666667,phi
