scenario,scheme,n_cells,seed,cycles,mean_pdr,psi_violation_rate,phi_violation_rate,hazard_rate,mean_power_dbm,budget_use
narrowband,per_cell,7,0,300,0.8141139343383769,0.5666666666666667,0.0,0.05142857142857143,25.90142857142857,1.1355052023054433
narrowband,per_cell,7,1,300,0.8026744566275762,0.6166666666666667,0.0,0.05,25.93095238095238,1.1468685492838566
narrowband,per_cell,7,2,300,0.816207540694704,0.6533333333333333,0.0,0.05285714285714286,26.052857142857142,1.1817810114699516
narrowband,per_cell,7,3,300,0.8035216698097862,0.58,0.0,0.04619047619047619,25.886666666666667,1.1266328283726723
narrowband,per_cell,7,4,300,0.7977110988801013,0.6133333333333333,0.0,0.06428571428571428,25.908571428571427,1.138568865730648
narrowband,per_cell,7,5,300,0.8099940099332166,0.59,0.0,0.05380952380952381,25.857619047619046,1.1391599740212275
narrowband,per_cell,7,6,300,0.8074539917233128,0.5666666666666667,0.0,0.05333333333333334,25.80761904761905,1.1184013183807138
narrowband,per_cell,7,7,300,0.8146383151068213,0.6066666666666667,0.0,0.05095238095238095,25.92142857142857,1.1393487727762008
narrowband,per_cell,7,8,300,0.812998616423375,0.61,0.0,0.05952380952380952,25.903333333333332,1.137256839227197
narrowband,per_cell,7,9,300,0.8086948727726231,0.5766666666666667,0.0,0.04619047619047619,25.93952380952381,1.1572239558007913
narrowband,per_cell,7,10,300,0.8157024430675167,0.6133333333333333,0.0,0.05476190476190476,25.95190476190476,1.1514837464672572
narrowband,per_cell,7,11,300,0.8169361428914241,0.6133333333333333,0.0,0.05,25.926190476190477,1.1417800089561874
narrowband,per_cell,7,12,300,0.8079803750492032,0.5433333333333333,0.0,0.05285714285714286,25.809047619047618,1.1160126681218858
narrowband,per_cell,7,13,300,0.8118060761812081,0.53,0.0,0.06666666666666667,25.786666666666665,1.1052359105486744
narrowband,per_cell,7,14,300,0.8090971062549823,0.5366666666666666,0.0,0.04047619047619048,25.804285714285715,1.0968998120298903
narrowband,static_share,7,0,300,0.8096721554431842,0.0,0.0,0.004285714285714286,24.922857142857143,0.8360685616527701
narrowband,static_share,7,1,300,0.8025954176138708,0.0,0.0,0.005238095238095238,24.882857142857144,0.8338609757185966
narrowband,static_share,7,2,300,0.8117324430071952,0.0,0.0,0.004761904761904762,24.905714285714286,0.8370096570966807
narrowband,static_share,7,3,300,0.802159447682067,0.0,0.0,0.006190476190476191,24.91857142857143,0.8377850129419676
narrowband,static_share,7,4,300,0.7971597976295645,0.0,0.0,0.009047619047619047,24.90142857142857,0.8358234170006853
narrowband,static_share,7,5,300,0.8039031331692075,0.0,0.0,0.005714285714285714,24.775714285714287,0.8195416214859995
narrowband,static_share,7,6,300,0.8036634502147859,0.0,0.0,0.006190476190476191,24.837142857142858,0.8251342906731206
narrowband,static_share,7,7,300,0.8091553618003208,0.0,0.0,0.004761904761904762,24.897142857142857,0.8351105460005751
narrowband,static_share,7,8,300,0.8091152922708331,0.0,0.0,0.006666666666666667,24.855714285714285,0.8313032983580627
narrowband,static_share,7,9,300,0.8101118930342271,0.0,0.0,0.005238095238095238,24.837142857142858,0.8277411967068512
narrowband,static_share,7,10,300,0.8109980649606753,0.0,0.0,0.008571428571428572,24.89,0.8343377275169229
narrowband,static_share,7,11,300,0.8137931189868496,0.0,0.0,0.009047619047619047,24.882857142857144,0.8349278848544509
narrowband,static_share,7,12,300,0.8078547539654722,0.0,0.0,0.009047619047619047,24.845714285714287,0.8276854799449881
narrowband,static_share,7,13,300,0.8100470161302079,0.0,0.0,0.009523809523809525,24.884285714285713,0.8317285654554211
narrowband,static_share,7,14,300,0.8096388080652281,0.0,0.0,0.007142857142857143,24.958571428571428,0.8437252335153825
narrowband,sequential,7,0,300,0.8014959282264796,0.0,0.0,0.020476190476190478,24.283333333333335,0.8047181971394411
narrowband,sequential,7,1,300,0.7981400725334049,0.0,0.0,0.020476190476190478,24.195714285714285,0.7970270628895055
narrowband,sequential,7,2,300,0.8009937855790712,0.0,0.0,0.024285714285714285,24.326190476190476,0.8173449898641355
narrowband,sequential,7,3,300,0.7928311019318579,0.0,0.0,0.017142857142857144,24.116666666666667,0.7884912811702072
narrowband,sequential,7,4,300,0.793363736542755,0.0,0.0,0.023333333333333334,24.206666666666667,0.7972606178943045
narrowband,sequential,7,5,300,0.7952417613327445,0.0,0.0,0.02095238095238095,24.165714285714287,0.7981596614610793
narrowband,sequential,7,6,300,0.7946755754267443,0.0,0.0,0.01904761904761905,24.277619047619048,0.8044769493700127
narrowband,sequential,7,7,300,0.7975498993874284,0.0,0.0,0.018095238095238095,24.255714285714287,0.8073228710268561
narrowband,sequential,7,8,300,0.7956329559663159,0.0,0.0,0.025714285714285714,24.155238095238094,0.795786894872858
narrowband,sequential,7,9,300,0.7956680638198623,0.0,0.0,0.02238095238095238,24.222857142857144,0.8051811957963264
narrowband,sequential,7,10,300,0.8078768326787237,0.0,0.0,0.02095238095238095,24.287142857142857,0.8120126893379223
narrowband,sequential,7,11,300,0.8015160467875951,0.0,0.0,0.01904761904761905,24.126666666666665,0.7886170801688431
narrowband,sequential,7,12,300,0.797256453385991,0.0,0.0,0.02,24.193809523809524,0.7918465572435266
narrowband,sequential,7,13,300,0.8057890492387749,0.0,0.0,0.02666666666666667,24.19047619047619,0.791865260955192
narrowband,sequential,7,14,300,0.7992706381873432,0.0,0.0,0.02095238095238095,24.312857142857144,0.804293066625323
wideband,per_cell,7,0,300,0.5440684618791005,0.83,0.0,0.1361904761904762,26.62047619047619,1.3867718933084023
wideband,per_cell,7,1,300,0.5300193093656504,0.82,0.0,0.13333333333333333,26.624761904761904,1.385550608736342
wideband,per_cell,7,2,300,0.5423230318887564,0.82,0.0,0.13380952380952382,26.644285714285715,1.394756539508622
wideband,per_cell,7,3,300,0.5272988978009264,0.83,0.0,0.13476190476190475,26.644285714285715,1.3955916969004007
wideband,per_cell,7,4,300,0.5271091990174548,0.84,0.0,0.14857142857142858,26.596666666666668,1.3822874273175665
wideband,per_cell,7,5,300,0.5393832486155995,0.8166666666666667,0.0,0.12761904761904763,26.53095238095238,1.3739471213932761
wideband,per_cell,7,6,300,0.528217741323586,0.8066666666666666,0.0,0.13714285714285715,26.463809523809523,1.3537647891609905
wideband,per_cell,7,7,300,0.5457640586652442,0.82,0.0,0.11714285714285715,26.54809523809524,1.3711229901170232
wideband,per_cell,7,8,300,0.5407176081080809,0.8066666666666666,0.0,0.15142857142857144,26.588571428571427,1.3857234808158037
wideband,per_cell,7,9,300,0.5397004841642548,0.8366666666666667,0.0,0.12047619047619047,26.55952380952381,1.378180689809693
wideband,per_cell,7,10,300,0.5440119795291158,0.8433333333333334,0.0,0.14238095238095239,26.63142857142857,1.3923652798329667
wideband,per_cell,7,11,300,0.5439952524465457,0.8033333333333333,0.0,0.13285714285714287,26.61809523809524,1.3862991991375684
wideband,per_cell,7,12,300,0.5284128746448432,0.7966666666666666,0.0,0.14476190476190476,26.557142857142857,1.3791037234420418
wideband,per_cell,7,13,300,0.5375082701363741,0.7933333333333333,0.0,0.16666666666666666,26.491904761904763,1.3560857822553893
wideband,per_cell,7,14,300,0.5367212949233088,0.8166666666666667,0.0,0.1219047619047619,26.562380952380952,1.3686782879244384
wideband,static_share,7,0,300,0.4966192731367036,0.0,0.0,0.035238095238095235,24.75,0.8118300782023304
wideband,static_share,7,1,300,0.4873886730913434,0.0,0.0,0.03333333333333333,24.71142857142857,0.8113411995851258
wideband,static_share,7,2,300,0.49696723136116255,0.0,0.0,0.03333333333333333,24.681428571428572,0.8067679028814909
wideband,static_share,7,3,300,0.4831396502939531,0.0,0.0,0.03190476190476191,24.715714285714284,0.8093875010802588
wideband,static_share,7,4,300,0.4848776252607942,0.0,0.0,0.03238095238095238,24.68,0.8057007110725571
wideband,static_share,7,5,300,0.4916537332503495,0.0,0.0,0.03333333333333333,24.6,0.7952426278842911
wideband,static_share,7,6,300,0.4818826510528058,0.0,0.0,0.029047619047619048,24.61285714285714,0.793114729676658
wideband,static_share,7,7,300,0.497421622432401,0.0,0.0,0.034761904761904765,24.672857142857143,0.803268287414672
wideband,static_share,7,8,300,0.4937782685738584,0.0,0.0,0.03238095238095238,24.62857142857143,0.7992820466799878
wideband,static_share,7,9,300,0.49800946179910216,0.0,0.0,0.030952380952380953,24.672857142857143,0.8045127802949492
wideband,static_share,7,10,300,0.4906747290476236,0.0,0.0,0.039523809523809524,24.72,0.8100409899429857
wideband,static_share,7,11,300,0.4935878094316476,0.0,0.0,0.03571428571428571,24.694285714285716,0.8080166278226631
wideband,static_share,7,12,300,0.4928139880603394,0.0,0.0,0.034761904761904765,24.65142857142857,0.8005352823374866
wideband,static_share,7,13,300,0.4941093378390882,0.0,0.0,0.039523809523809524,24.658571428571427,0.8010117528019494
wideband,static_share,7,14,300,0.4957992411642698,0.0,0.0,0.035238095238095235,24.71857142857143,0.8109885707971307
wideband,sequential,7,0,300,0.5237276296611083,0.0,0.0,0.07,24.236666666666668,0.8537555912358276
wideband,sequential,7,1,300,0.5163750147134404,0.0,0.0,0.06714285714285714,24.205714285714286,0.8511524018580384
wideband,sequential,7,2,300,0.5230665116849472,0.0,0.0,0.06285714285714286,24.283333333333335,0.8626571141546774
wideband,sequential,7,3,300,0.5108462323798293,0.0,0.0,0.06,24.096666666666668,0.8367722564221171
wideband,sequential,7,4,300,0.52000930220221,0.0,0.0,0.07047619047619047,24.177142857142858,0.8504509035240561
wideband,sequential,7,5,300,0.5147639825631624,0.0,0.0,0.06619047619047619,24.125238095238096,0.8443254967522553
wideband,sequential,7,6,300,0.5114792672886961,0.0,0.0,0.06285714285714286,24.27095238095238,0.8582163695515325
wideband,sequential,7,7,300,0.5209300946108932,0.0,0.0,0.05333333333333334,24.22904761904762,0.8559672665278807
wideband,sequential,7,8,300,0.5198302714399774,0.0,0.0,0.06285714285714286,24.107619047619046,0.8432062560617362
wideband,sequential,7,9,300,0.5160375917840909,0.0,0.0,0.05238095238095238,24.218095238095238,0.8522789316036102
wideband,sequential,7,10,300,0.5258029277188847,0.0,0.0,0.0719047619047619,24.24,0.8587355923526279
wideband,sequential,7,11,300,0.520914946035547,0.0,0.0,0.056666666666666664,24.10904761904762,0.8373312602584465
