scenario,cycles,xi_max,xi_mean,cov_K_mean,G_measured_per_cycle,bound_twin_per_cycle,bound_cov_per_cycle,bound_total_per_cycle
backhaul,300,1.3929729221258673,0.2640487934651755,0.0003333333333333333,0.22678189660829337,2.7859458442517346,0.9996666666666667,3.7856125109184013
bursty,300,1.3219321527615573,0.13834076167520773,0.002,0.06722994620784568,2.6438643055231146,0.998,3.6418643055231144
compound,300,1.1608319495943735,0.23811475672076093,0.0016666666666666668,0.22593400547584272,2.321663899188747,0.9983333333333333,3.3199972325220806
compromised_xapp,300,1.1657592005399904,0.11491681300355606,0.0006666666666666666,0.08066668619721912,2.3315184010799808,0.9993333333333333,3.330851734413314
narrowband,300,1.3733675209611635,0.17829189339183213,0.0006666666666666666,0.08295359015529204,2.746735041922327,0.9993333333333333,3.7460683752556605
wideband,300,1.5628031779360223,0.2683102688187736,0.007666666666666666,0.20331726772484782,3.1256063558720446,0.9923333333333333,4.117939689205378
